Time,realtime_start_NGDPSAXDCUSQ,value_NGDPSAXDCUSQ,Time_NGDPSAXDCUSQ
548,2024-07-29,1073721.75,1985-04-01
549,2025-06-02,1073721.8,1985-04-01
550,2025-06-16,1073721.75,1985-04-01
551,2025-07-21,1073721.8,1985-04-01
552,2021-06-14,,1985-07-01
553,2022-02-07,1096693.3,1985-07-01
554,2024-07-29,1096693.25,1985-07-01
555,2025-06-02,1096693.3,1985-07-01
556,2025-06-16,1096693.25,1985-07-01
557,2025-07-21,1096693.3,1985-07-01
558,2021-06-14,,1985-10-01
559,2022-02-07,1111023.5,1985-10-01
560,2021-06-14,,1986-01-01
561,2022-02-07,1126973.5,1986-01-01
562,2021-06-14,,1986-04-01
563,2022-02-07,1136335.0,1986-04-01
564,2021-06-14,,1986-07-01
565,2022-02-07,1151917.3,1986-07-01
566,2024-07-29,1151917.25,1986-07-01
567,2025-06-02,1151917.3,1986-07-01
568,2025-06-16,1151917.25,1986-07-01
569,2025-07-21,1151917.3,1986-07-01
570,2021-06-14,,1986-10-01
571,2022-02-07,1164406.8,1986-10-01
572,2024-07-29,1164406.75,1986-10-01
573,2025-06-02,1164406.8,1986-10-01
574,2025-06-16,1164406.75,1986-10-01
575,2025-07-21,1164406.8,1986-10-01
576,2021-06-14,,1987-01-01
577,2022-02-07,1180539.0,1987-01-01
578,2021-06-14,,1987-04-01
579,2022-02-07,1201540.0,1987-04-01
580,2021-06-14,,1987-07-01
581,2022-02-07,1221138.8,1987-07-01
582,2024-07-29,1221138.75,1987-07-01
583,2025-06-02,1221138.8,1987-07-01
584,2025-06-16,1221138.75,1987-07-01
585,2025-07-21,1221138.8,1987-07-01
586,2021-06-14,,1987-10-01
587,2022-02-07,1251998.5,1987-10-01
588,2021-06-14,,1988-01-01
589,2022-02-07,1268343.0,1988-01-01
590,2021-06-14,,1988-04-01
591,2022-02-07,1297509.0,1988-04-01
592,2021-06-14,,1988-07-01
593,2022-02-07,1320708.8,1988-07-01
594,2024-07-29,1320708.75,1988-07-01
595,2025-06-02,1320708.8,1988-07-01
596,2025-06-16,1320708.75,1988-07-01
597,2025-07-21,1320708.8,1988-07-01
598,2021-06-14,,1988-10-01
599,2022-02-07,1349877.3,1988-10-01
600,2024-07-29,1349877.25,1988-10-01
601,2025-06-02,1349877.3,1988-10-01
602,2025-06-16,1349877.25,1988-10-01
603,2025-07-21,1349877.3,1988-10-01
604,2021-06-14,,1989-01-01
605,2022-02-07,1377813.3,1989-01-01
606,2024-07-29,1377813.25,1989-01-01
607,2025-06-02,1377813.3,1989-01-01
608,2025-06-16,1377813.25,1989-01-01
609,2025-07-21,1377813.3,1989-01-01
610,2021-06-14,,1989-04-01
611,2022-02-07,1403115.8,1989-04-01
612,2024-07-29,1403115.75,1989-04-01
613,2025-06-02,1403115.8,1989-04-01
614,2025-06-16,1403115.75,1989-04-01
615,2025-07-21,1403115.8,1989-04-01
616,2021-06-14,,1989-07-01
617,2022-02-07,1423841.3,1989-07-01
618,2024-07-29,1423841.25,1989-07-01
619,2025-06-02,1423841.3,1989-07-01
620,2025-06-16,1423841.25,1989-07-01
621,2025-07-21,1423841.3,1989-07-01
622,2021-06-14,,1989-10-01
623,2022-02-07,1436809.3,1989-10-01
624,2024-07-29,1436809.25,1989-10-01
625,2025-06-02,1436809.3,1989-10-01
626,2025-06-16,1436809.25,1989-10-01
627,2025-07-21,1436809.3,1989-10-01
628,2021-06-14,,1990-01-01
629,2022-02-07,1468175.3,1990-01-01
630,2024-07-29,1468175.25,1990-01-01
631,2025-06-02,1468175.3,1990-01-01
632,2025-06-16,1468175.25,1990-01-01
633,2025-07-21,1468175.3,1990-01-01
634,2021-06-14,,1990-04-01
635,2022-02-07,1490007.0,1990-04-01
636,2021-06-14,,1990-07-01
637,2022-02-07,1503779.0,1990-07-01
638,2021-06-14,,1990-10-01
639,2022-02-07,1501183.3,1990-10-01
640,2024-07-29,1501183.25,1990-10-01
641,2025-06-02,1501183.3,1990-10-01
642,2025-06-16,1501183.25,1990-10-01
643,2025-07-21,1501183.3,1990-10-01
644,2021-06-14,,1991-01-01
645,2022-02-07,1508794.5,1991-01-01
646,2021-06-14,,1991-04-01
647,2022-02-07,1531715.5,1991-04-01
648,2021-06-14,,1991-07-01
649,2022-02-07,1551484.3,1991-07-01
650,2024-07-29,1551484.25,1991-07-01
651,2025-06-02,1551484.3,1991-07-01
652,2025-06-16,1551484.25,1991-07-01
653,2025-07-21,1551484.3,1991-07-01
654,2021-06-14,,1991-10-01
655,2022-02-07,1566135.0,1991-10-01
656,2021-06-14,,1992-01-01
657,2022-02-07,1590775.5,1992-01-01
658,2021-06-14,,1992-04-01
659,2022-02-07,1617690.8,1992-04-01
660,2024-07-29,1617690.75,1992-04-01
661,2025-06-02,1617690.8,1992-04-01
662,2025-06-16,1617690.75,1992-04-01
663,2025-07-21,1617690.8,1992-04-01
664,2021-06-14,,1992-07-01
665,2022-02-07,1641660.3,1992-07-01
666,2024-07-29,1641660.25,1992-07-01
667,2025-06-02,1641660.3,1992-07-01
668,2025-06-16,1641660.25,1992-07-01
669,2025-07-21,1641660.3,1992-07-01
670,2021-06-14,,1992-10-01
671,2022-02-07,1670200.8,1992-10-01
672,2024-07-29,1670200.75,1992-10-01
